# Source     : all
# Name       : sampledSurface
# Cells      : 559600
# Volume     : 4.859558e-09
# Scale factor: 1.000000e+00
# Time       	volIntegrateU
0.00105      	2.554514e-09 1.135589e-13 4.307003e-21
0.00106      	2.573089e-09 1.153306e-13 2.628914e-21
0.00107      	2.591568e-09 1.172509e-13 7.537832e-22
0.00108      	2.609951e-09 1.190148e-13 -9.461822e-22
0.00109      	2.628238e-09 1.208543e-13 -2.760557e-21
0.0011       	2.646430e-09 1.230615e-13 -4.695233e-21
0.00111      	2.664526e-09 1.253274e-13 -6.769634e-21
0.00112      	2.682527e-09 1.274546e-13 -8.870623e-21
0.00113      	2.700432e-09 1.299136e-13 -1.116002e-20
0.00114      	2.718241e-09 1.324505e-13 -1.354746e-20
0.00115      	2.735956e-09 1.350476e-13 -1.592370e-20
0.00116      	2.753575e-09 1.376553e-13 -1.840264e-20
0.00117      	2.771099e-09 1.402873e-13 -2.116357e-20
0.00118      	2.788528e-09 1.430492e-13 -2.377905e-20
0.00119      	2.805861e-09 1.457599e-13 -2.667515e-20
0.0012       	2.823100e-09 1.483443e-13 -2.903119e-20
0.00121      	2.840244e-09 1.509663e-13 -3.305975e-20
0.00122      	2.857293e-09 1.538297e-13 -3.665449e-20
0.00123      	2.874248e-09 1.568562e-13 -4.032733e-20
0.00124      	2.891108e-09 1.597277e-13 -4.366566e-20
0.00125      	2.907873e-09 1.624100e-13 -4.722222e-20
0.00126      	2.924544e-09 1.651475e-13 -5.098810e-20
0.00127      	2.941121e-09 1.679091e-13 -5.508589e-20
0.00128      	2.957604e-09 1.707560e-13 -5.925917e-20
0.00129      	2.973993e-09 1.736929e-13 -6.366659e-20
0.0013       	2.990288e-09 1.766865e-13 -6.821387e-20
0.00131      	3.006489e-09 1.797530e-13 -7.295306e-20
0.00132      	3.022596e-09 1.828860e-13 -7.787804e-20
0.00133      	3.038611e-09 1.861197e-13 -8.294869e-20
0.00134      	3.054531e-09 1.891661e-13 -8.842458e-20
0.00135      	3.070359e-09 1.922395e-13 -9.384799e-20
0.00136      	3.086093e-09 1.951013e-13 -9.973823e-20
0.00137      	3.101734e-09 1.978257e-13 -1.054156e-19
0.00138      	3.117283e-09 2.008303e-13 -1.116269e-19
0.00139      	3.132739e-09 2.039632e-13 -1.180395e-19
0.0014       	3.148102e-09 2.073784e-13 -1.246777e-19
0.00141      	3.163373e-09 2.109564e-13 -1.319447e-19
